R (a.u.),Phase (deg),Uncorrected phase (deg),Noise (a.u.),X (a.u.),Y (a.u.),Sin Harmonic n,Sin Harmonic n+1,Sin Harmonic n+2,Cos Harmonic n,Cos Harmonic n+1,Cos Harmonic n+2,Higher harmonic number n
2053.32196,-12.20744,-0.21306,0.47627,-2006.89237,434.18208,-63.65764,-535.63416,-98.14043,-115.31927,386.19800,-73.02376,2
2053.32555,-12.21832,-0.21325,0.53179,-2006.81337,434.56408,-63.68087,-535.42817,-98.16036,-115.23686,386.51418,-72.90320,2
2053.33131,-12.22807,-0.21342,0.61740,-2006.74384,434.91219,-63.69513,-535.24525,-98.16823,-115.14880,386.80602,-72.78540,2
2053.33446,-12.23494,-0.21354,0.71957,-2006.69557,435.14975,-63.70180,-535.11872,-98.16815,-115.08488,387.00469,-72.70286,2
2053.33331,-12.23952,-0.21362,0.78945,-2006.66086,435.30432,-63.71329,-535.02973,-98.18093,-115.06054,387.13038,-72.66141,2
2053.32833,-12.23781,-0.21359,0.82656,-2006.6702,435.23778,-63.71092,-535.05870,-98.17982,-115.08138,387.07173,-72.68706,2
2053.32197,-12.23208,-0.21349,0.80636,-2006.70555,435.04478,-63.69526,-535.15719,-98.16146,-115.10745,386.90864,-72.73253,2
2053.31468,-12.22864,-0.21343,0.76055,-2006.72655,434.91349,-63.67817,-535.21754,-98.13467,-115.10259,386.79292,-72.74165,2
2053.31201,-12.22405,-0.21335,0.70564,-2006.75781,434.75657,-63.64862,-535.30376,-98.08801,-115.07225,386.66291,-72.73481,2
2053.30901,-12.2189,-0.21326,0.64920,-2006.79199,434.58466,-63.61065,-535.39671,-98.02953,-115.04740,386.52159,-72.74394,2
2053.30503,-12.21775,-0.21324,0.59702,-2006.80053,434.5264,-63.58680,-535.42118,-97.98882,-115.01566,386.46943,-72.72971,2
2053.30266,-12.20916,-0.21309,0.55528,-2006.85965,434.24203,-63.51991,-535.58085,-97.88356,-114.94904,386.23801,-72.71919,2
2053.3059,-12.19254,-0.21280,0.56110,-2006.99096,433.65009,-63.39403,-535.93128,-97.69244,-114.84775,385.76795,-72.73052,2
2053.31092,-12.17822,-0.21255,0.65456,-2007.10248,433.15745,-63.27519,-536.22648,-97.50961,-114.73784,385.38003,-72.72454,2
2053.31272,-12.16733,-0.21236,0.77833,-2007.1857,432.78022,-63.18074,-536.44736,-97.36166,-114.64498,385.08008,-72.71190,2
2053.31678,-12.16561,-0.21233,0.87680,-2007.20424,432.71343,-63.14257,-536.49471,-97.29847,-114.58120,385.03259,-72.67664,2
2053.32354,-12.1679,-0.21237,0.90189,-2007.19458,432.79031,-63.13209,-536.46596,-97.27917,-114.53869,385.10478,-72.63919,2
2053.33479,-12.16676,-0.21235,0.89846,-2007.21439,432.75183,-63.10577,-536.51438,-97.23991,-114.48837,385.09075,-72.61002,2
2053.34039,-12.16103,-0.21225,0.88790,-2007.26009,432.56638,-63.06252,-536.63310,-97.17685,-114.45694,384.95074,-72.61877,2
2053.35013,-12.15014,-0.21206,0.90227,-2007.35535,432.1704,-62.97970,-536.88149,-97.05759,-114.40972,384.64809,-72.65080,2
2053.35992,-12.14327,-0.21194,0.94070,-2007.41412,431.94392,-62.92094,-537.03333,-96.97106,-114.35902,384.48191,-72.65400,2
2053.37373,-12.14384,-0.21195,0.95289,-2007.42515,431.95825,-62.88244,-537.05648,-96.90890,-114.28115,384.51646,-72.60456,2
2053.38801,-12.14269,-0.21193,0.94311,-2007.44808,431.91959,-62.84227,-537.11190,-96.84784,-114.21618,384.50923,-72.57301,2
2053.39877,-12.13811,-0.21185,0.92734,-2007.49373,431.75857,-62.80427,-537.23012,-96.79357,-114.17815,384.39620,-72.57095,2
2053.40232,-12.13295,-0.21176,0.91720,-2007.53247,431.59524,-62.77679,-537.33215,-96.75398,-114.16241,384.26883,-72.58261,2
2053.40449,-12.13295,-0.21176,0.90125,-2007.53759,431.58178,-62.77438,-537.34584,-96.74937,-114.15395,384.26005,-72.57665,2
2053.40495,-12.13467,-0.21179,0.87014,-2007.52595,431.63811,-62.76392,-537.31563,-96.72491,-114.09847,384.30568,-72.52172,2
2053.40434,-12.13754,-0.21184,0.82329,-2007.5013,431.74981,-62.76815,-537.25064,-96.72511,-114.07144,384.39509,-72.48528,2
2053.40394,-12.15301,-0.21211,0.76077,-2007.38425,432.29181,-62.83493,-536.93738,-96.81419,-114.05743,384.83169,-72.39877,2
2053.4023,-12.16619,-0.21234,0.71703,-2007.28398,432.74936,-62.89222,-536.66990,-96.89072,-114.04421,385.19836,-72.32309,2
2053.40386,-12.17936,-0.21257,0.72381,-2007.18387,433.22086,-62.93589,-536.40082,-96.94370,-113.99679,385.58038,-72.22173,2
2053.40643,-12.19369,-0.21282,0.79019,-2007.07813,433.72264,-62.97444,-536.11607,-96.98529,-113.92491,385.98704,-72.09724,2
2053.41395,-12.20457,-0.21301,0.89805,-2007.00419,434.10022,-63.00284,-535.91489,-97.01951,-113.87540,386.30150,-72.01233,2
2053.4136,-12.20858,-0.21308,0.98121,-2006.97299,434.24284,-63.02572,-535.83103,-97.05334,-113.88851,386.41483,-72.00483,2
2053.40663,-12.2126,-0.21315,1.03392,-2006.93483,434.38622,-63.05978,-535.73149,-97.10258,-113.91612,386.51848,-72.00129,2
